id_venta,fecha,id_cliente,nombre_cliente,email,medio_pago
32,01-30-24,31,Felipe Ruiz,felipe.ruiz@mail.com,efectivo
33,02-13-24,6,Uma Medina,uma.medina@mail.com,efectivo
34,01-13-24,58,Karina Acosta,karina.acosta2@mail.com,transferencia
35,05-30-24,61,Guadalupe Martinez,guadalupe.martinez@mail.com,efectivo
36,06-25-24,5,Agustina Flores,agustina.flores@mail.com,tarjeta
37,05-17-24,57,Julian Acosta,julian.acosta@mail.com,qr
38,05-29-24,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta
39,03-05-24,5,Agustina Flores,agustina.flores@mail.com,efectivo
40,05-13-24,15,Tomas Ruiz,tomas.ruiz@mail.com,efectivo
41,03-08-24,29,Diego Fernandez,diego.fernandez@mail.com,tarjeta
42,04-18-24,12,Gael Gomez,gael.gomez@mail.com,tarjeta
43,02-18-24,23,Helena Fernandez,helena.fernandez@mail.com,efectivo
44,02-21-24,21,Elena Rodriguez,elena.rodriguez@mail.com,efectivo
45,01-19-24,15,Tomas Ruiz,tomas.ruiz@mail.com,efectivo
46,03-25-24,46,Agustina Martinez,agustina.martinez@mail.com,tarjeta
47,05-04-24,52,Diego Diaz,diego.diaz@mail.com,transferencia
48,01-26-24,84,Pablo Sanchez,pablo.sanchez@mail.com,qr
49,06-02-24,5,Agustina Flores,agustina.flores@mail.com,efectivo
50,01-09-24,8,Bruno Castro,bruno.castro@mail.com,transferencia
51,02-18-24,39,Santiago Diaz,santiago.diaz@mail.com,efectivo
52,05-10-24,5,Agustina Flores,agustina.flores@mail.com,tarjeta
53,01-25-24,56,Bruno Diaz,bruno.diaz@mail.com,tarjeta
54,03-26-24,1,Mariana Lopez,mariana.lopez@mail.com,tarjeta
55,01-04-24,100,Agustina Lopez,agustina.lopez@mail.com,qr
56,06-14-24,15,Tomas Ruiz,tomas.ruiz@mail.com,qr
57,01-10-24,34,Bruno Castro,bruno.castro2@mail.com,efectivo
58,02-04-24,48,Rocio Alvarez,rocio.alvarez@mail.com,transferencia
59,04-28-24,62,Guadalupe Romero,guadalupe.romero@mail.com,tarjeta
60,04-04-24,81,Camila Ruiz,camila.ruiz@mail.com,transferencia
61,06-01-24,27,Tomas Castro,tomas.castro@mail.com,efectivo
62,05-01-24,100,Agustina Lopez,agustina.lopez@mail.com,transferencia
63,06-19-24,25,Karina Castro,karina.castro@mail.com,tarjeta
64,03-07-24,58,Karina Acosta,karina.acosta2@mail.com,qr
65,04-30-24,30,Ivana Medina,ivana.medina@mail.com,qr
66,03-14-24,69,Felipe Flores,felipe.flores@mail.com,qr
67,03-21-24,66,Tomas Herrera,tomas.herrera@mail.com,efectivo
68,06-28-24,27,Tomas Castro,tomas.castro@mail.com,qr
69,01-06-24,42,Tomas Flores,tomas.flores@mail.com,qr
70,02-02-24,41,Elena Rodriguez,elena.rodriguez2@mail.com,transferencia
71,06-02-24,40,Felipe Diaz,felipe.diaz@mail.com,qr
72,02-17-24,26,Camila Sanchez,camila.sanchez@mail.com,qr
73,05-16-24,42,Tomas Flores,tomas.flores@mail.com,transferencia
74,04-26-24,56,Bruno Diaz,bruno.diaz@mail.com,efectivo
75,05-23-24,61,Guadalupe Martinez,guadalupe.martinez@mail.com,qr
76,05-15-24,75,Santiago Castro,santiago.castro@mail.com,tarjeta
77,05-26-24,55,Olivia Ruiz,olivia.ruiz@mail.com,tarjeta
78,04-29-24,12,Gael Gomez,gael.gomez@mail.com,qr
79,06-06-24,57,Julian Acosta,julian.acosta@mail.com,qr
80,03-25-24,54,Uma Herrera,uma.herrera@mail.com,efectivo
81,03-09-24,49,Olivia Gomez,olivia.gomez@mail.com,transferencia
82,01-25-24,19,Uma Silva,uma.silva@mail.com,tarjeta
83,05-28-24,91,Uma Sanchez,uma.sanchez@mail.com,efectivo
84,01-02-24,72,Camila Rodriguez,camila.rodriguez@mail.com,efectivo
85,01-23-24,42,Tomas Flores,tomas.flores@mail.com,transferencia
86,01-10-24,40,Felipe Diaz,felipe.diaz@mail.com,efectivo
87,04-20-24,100,Agustina Lopez,agustina.lopez@mail.com,qr
88,06-21-24,37,Martina Perez,martina.perez@mail.com,efectivo
89,01-18-24,17,Pablo Gomez,pablo.gomez@mail.com,tarjeta
90,01-08-24,46,Agustina Martinez,agustina.martinez@mail.com,qr
91,02-19-24,39,Santiago Diaz,santiago.diaz@mail.com,efectivo
92,02-09-24,42,Tomas Flores,tomas.flores@mail.com,transferencia
93,01-29-24,90,Guadalupe Ruiz,guadalupe.ruiz@mail.com,efectivo
94,03-06-24,41,Elena Rodriguez,elena.rodriguez2@mail.com,qr
95,02-25-24,26,Camila Sanchez,camila.sanchez@mail.com,qr
96,02-23-24,83,Franco Gomez,franco.gomez@mail.com,tarjeta
97,06-16-24,39,Santiago Diaz,santiago.diaz@mail.com,efectivo
98,01-12-24,43,Lucas Perez,lucas.perez@mail.com,transferencia
99,03-13-24,51,Agustina Gomez,agustina.gomez@mail.com,transferencia
100,06-08-24,69,Felipe Flores,felipe.flores@mail.com,qr
101,03-28-24,72,Camila Rodriguez,camila.rodriguez@mail.com,efectivo
102,03-29-24,18,Ivana Torres,ivana.torres@mail.com,efectivo
103,03-11-24,39,Santiago Diaz,santiago.diaz@mail.com,efectivo
104,06-17-24,86,Diego Torres,diego.torres@mail.com,qr
105,02-06-24,1,Mariana Lopez,mariana.lopez@mail.com,transferencia
106,03-24-24,82,Lucas Lopez,lucas.lopez@mail.com,transferencia
107,05-21-24,14,Gael Martinez,gael.martinez@mail.com,efectivo
108,03-25-24,9,Yamila Molina,yamila.molina@mail.com,tarjeta
109,06-04-24,64,Julian Alvarez,julian.alvarez@mail.com,transferencia
110,05-19-24,92,Mariana Rodriguez,mariana.rodriguez@mail.com,efectivo
111,02-12-24,48,Rocio Alvarez,rocio.alvarez@mail.com,efectivo
112,01-19-24,28,Rocio Silva,rocio.silva@mail.com,tarjeta
113,03-08-24,98,Camila Castro,camila.castro@mail.com,transferencia
114,05-05-24,16,Felipe Alvarez,felipe.alvarez@mail.com,qr
115,02-16-24,3,Hernan Martinez,hernan.martinez@mail.com,transferencia
116,03-18-24,25,Karina Castro,karina.castro@mail.com,qr
117,03-14-24,72,Camila Rodriguez,camila.rodriguez@mail.com,tarjeta
118,02-09-24,84,Pablo Sanchez,pablo.sanchez@mail.com,efectivo
119,02-07-24,51,Agustina Gomez,agustina.gomez@mail.com,qr
120,04-21-24,72,Camila Rodriguez,camila.rodriguez@mail.com,tarjeta
